,stateInitials,stateName,countyName,countyID,tractID,population,noHealthInsurance%,arthritis%,bingeDrinking%,highBP%,medicineToLowerBP%,nonSkinCancer%,currentAsthma%,cervicalCancer%,coronaryHeartDisease%,routineCheckUp%,cholestorolScreening%,colonScreening%,chronicObstructivePulmonaryDisease%,menUpToDateOnVaccinesAndScreenings%,womenUpToDateOnVaccinesAndScreenings%,currentSmoking%,routineDentalCheckup%,depression%,diabetes%,fairOrGoodHealth%,highCholestorol%,chronicKidneyDisease%,noLeisurelyPhysicalActivity%,mammographyUseWomen%,badMentalHealth%,obesity%,badPhysicalHealth%,lessThan7HoursOfSleep%,stroke%,allTeethLost%,state,county,totalPop,men,women,hispanic,white,black,native,asian,pacific,votingAgeCitizen,income,incomeErr,incomePerCap,incomePerCapErr,poverty,childPoverty,professional,service,office,construction,production,drive,carpool,transit,walk,otherTransp,workAtHome,meanCommute,employed,privateWork,publicWork,selfEmployed,familyWork,unemployment,County,%lessHigh,%lessHighSd,%incompleteHigh,%incompleteHighSd,%completeHigh,completeHighSd,%incompleteCollege,%incompleteCollegeSd,%associateDeg,%associateDegSd,%bachelorDeg,%bachelorDegSd,%gradProfDeg,%gradProfDegSd,Shape__Area,Shape__Length
0,GA,Georgia,Paulding,13223,13223120102,11271,21.2,20.6,20.0,29.3,65.8,5.0,9.0,86.5,4.1,71.7,84.6,62.3,5.9,31.1,32.8,21.6,64.8,21.9,8.2,17.3,28.5,2.1,28.2,79.1,17.8,33.8,12.3,39.6,2.4,12.9,Georgia,Paulding County,12956,6481,6475,9.9,72.8,13.4,0.2,0.7,0.0,8892,77072.0,9575.0,25508.0,1504.0,5.2,6.1,33.4,10.3,32.8,12.7,10.8,77.4,14.0,0.2,0.6,0.0,7.8,36.0,6226,82.9,12.8,4.3,0.0,5.0,"Census Tract 1201.02, Paulding County",2.0,1.3,6.9,2.4,34.4,4.8,21.1,3.8,8.8,2.2,18.6,3.9,8.1,2.2,"365,176,461.87","119,842.47"
1,GA,Georgia,Bibb,13021,13021013411,4039,15.3,17.5,20.1,26.2,66.4,4.9,8.7,86.7,3.5,75.6,86.8,69.6,4.1,35.0,36.8,14.3,74.6,20.4,7.0,12.0,26.3,1.9,21.2,81.2,14.2,28.8,9.2,36.8,2.0,7.2,Georgia,Bibb County,4303,1933,2370,6.4,60.4,26.5,0.0,5.0,0.0,3153,67774.0,13882.0,49736.0,10188.0,13.5,25.0,59.6,13.0,19.9,2.4,5.1,83.6,7.1,0.0,1.2,3.7,4.5,18.5,2559,82.7,14.1,3.2,0.0,1.0,"Census Tract 134.11, Bibb County",0.7,1.5,0.9,1.6,13.5,4.4,14.4,4.6,7.9,3.5,28.9,5.6,33.6,7.3,"188,389,786.08","99,781.16"
2,GA,Georgia,Clayton,13063,13063040415,5844,36.0,21.0,13.8,35.5,67.6,3.5,11.9,81.2,5.3,74.9,81.7,53.5,7.6,23.3,25.9,25.9,43.7,18.7,13.8,30.0,24.8,3.4,43.6,83.4,23.2,43.6,17.8,47.1,3.9,27.4,Georgia,Clayton County,6019,2896,3123,20.8,5.7,68.4,0.0,4.2,0.0,3204,36500.0,8145.0,16705.0,4883.0,45.6,64.3,18.2,19.8,30.5,16.9,14.5,65.2,15.4,3.0,5.4,6.7,4.3,24.3,2945,80.8,10.9,8.3,0.0,6.3,"Census Tract 404.15, Clayton County",5.5,3.3,9.4,5.3,38.6,7.5,22.0,6.5,9.0,4.1,11.0,6.3,4.6,3.2,"43,620,528.13","43,075.64"
3,GA,Georgia,Pike,13231,13231010300,3878,20.5,27.0,17.6,36.2,75.6,7.0,9.3,84.7,6.3,76.6,86.6,62.7,7.9,28.4,28.9,21.6,61.4,21.7,11.7,20.0,34.9,2.9,29.8,77.3,17.0,34.0,14.3,37.9,3.6,16.9,Georgia,Pike County,4218,2036,2182,1.4,79.2,18.3,0.0,0.0,0.0,3037,52500.0,8207.0,22831.0,3087.0,10.4,13.3,32.9,15.4,22.0,7.4,22.4,92.2,5.7,0.0,0.0,0.4,1.6,33.1,1600,79.6,16.8,3.6,0.0,13.5,"Census Tract 103, Pike County",5.0,2.4,12.1,3.8,42.6,4.4,21.5,4.4,6.3,2.9,7.7,2.8,4.8,1.9,"1,885,424,762.10","216,990.39"
4,GA,Georgia,Douglas,13097,13097080404,7943,21.5,23.1,17.2,34.4,72.4,6.0,9.4,87.6,5.3,77.2,87.0,63.1,6.6,29.3,31.1,20.3,61.1,19.7,10.9,19.3,32.4,2.7,28.7,77.9,16.4,32.9,13.2,38.6,3.2,14.0,Georgia,Douglas County,8092,3963,4129,8.9,54.5,30.3,0.0,3.9,0.0,5396,51056.0,6470.0,26419.0,4820.0,12.7,15.8,31.9,11.5,34.1,10.0,12.4,83.8,11.2,0.2,0.3,3.4,1.1,36.6,3614,78.9,11.6,9.6,0.0,10.3,"Census Tract 804.04, Douglas County",7.1,4.2,9.5,3.2,33.7,5.2,11.7,3.7,11.2,3.5,15.6,4.1,11.3,2.9,"643,478,138.53","126,448.55"
5,GA,Georgia,Gilmer,13123,13123080500,4114,21.7,30.0,16.1,36.7,77.1,7.9,9.4,85.3,8.0,76.9,86.3,65.1,9.8,31.6,31.5,22.2,64.0,21.7,12.8,22.3,36.6,3.3,29.5,75.5,17.2,32.4,16.3,34.1,4.0,14.4,Georgia,Gilmer County,3865,1999,1866,3.3,94.1,0.9,0.0,0.0,0.0,3099,51120.0,6585.0,30981.0,6777.0,16.1,24.6,31.5,19.1,18.1,14.8,16.5,69.8,18.1,0.0,6.0,1.4,4.8,27.3,1462,78.8,10.1,10.2,1.0,8.6,"Census Tract 805, Gilmer County",5.3,3.0,7.8,3.9,40.8,5.9,15.1,4.3,7.9,2.8,12.6,4.0,10.5,3.4,"1,645,762,037.65","264,856.46"
6,GA,Georgia,Cobb,13067,13067031404,5558,19.6,23.5,16.3,35.0,75.0,6.9,9.0,88.6,5.7,80.3,89.7,66.6,6.2,28.0,33.0,16.0,65.0,16.8,11.2,17.9,31.2,3.0,26.1,79.6,14.3,32.9,12.5,37.6,3.4,12.3,Georgia,Cobb County,6055,3089,2966,6.2,43.6,48.0,0.0,0.5,0.0,4418,72108.0,11347.0,28896.0,3334.0,11.0,4.8,39.3,12.7,20.2,13.4,14.5,81.5,10.1,0.9,1.5,0.0,6.0,30.9,3196,84.8,9.3,5.9,0.0,5.9,"Census Tract 314.04, Cobb County",2.4,2.1,4.2,2.1,31.7,7.7,24.6,6.3,6.2,3.0,17.7,4.2,13.2,6.4,"94,829,090.50","48,451.89"
7,GA,Georgia,Fulton,13121,13121010204,4761,9.6,24.8,16.3,30.6,78.5,9.2,7.1,91.2,5.7,80.0,93.7,72.7,4.9,38.7,36.7,8.7,82.6,17.8,8.5,11.1,36.3,2.6,15.6,81.4,10.0,23.0,9.6,26.7,2.6,4.4,Georgia,Fulton County,5075,2444,2631,1.4,93.1,1.7,0.3,2.3,0.0,3717,163214.0,33043.0,71512.0,7705.0,2.1,1.6,70.8,10.1,15.0,1.9,2.1,74.2,5.6,1.2,1.4,1.0,16.5,26.5,2447,80.9,6.2,11.6,1.3,0.8,"Census Tract 102.04, Fulton County",0.4,1.4,0.5,1.4,2.9,1.6,10.0,3.1,2.7,1.7,38.6,4.4,45.0,5.2,"105,121,427.78","57,105.11"
8,GA,Georgia,Fulton,13121,13121005501,2307,25.2,20.0,15.6,35.3,71.1,4.1,10.8,85.1,4.9,77.6,86.7,55.6,6.3,19.2,21.1,21.0,50.0,19.0,12.7,23.9,25.7,3.3,31.1,84.1,19.6,37.1,14.6,43.7,3.9,23.5,Georgia,Fulton County,2298,1127,1171,5.7,17.8,72.3,0.0,3.2,0.0,1645,30469.0,8765.0,19828.0,3101.0,41.0,55.4,35.7,23.4,26.2,4.0,10.6,74.7,4.6,10.8,2.4,2.4,5.0,29.1,1044,80.0,15.4,4.6,0.0,9.0,"Census Tract 55.01, Fulton County",2.5,2.2,10.4,4.5,27.3,6.4,20.0,6.5,5.6,3.5,23.2,6.0,10.9,3.4,"12,836,003.96","15,960"
9,GA,Georgia,Wayne,13305,13305970500,5426,29.8,23.0,18.1,38.6,70.6,5.3,8.8,82.5,6.4,74.6,85.1,56.8,7.7,26.9,28.8,25.3,48.0,18.8,13.4,25.2,31.3,3.2,36.0,79.8,17.9,38.5,15.6,44.0,3.8,24.1,Georgia,Wayne County,5183,3312,1871,8.9,47.1,40.4,0.2,0.1,0.0,4187,37554.0,7096.0,15465.0,2389.0,34.6,48.5,38.5,18.2,15.4,9.0,18.9,88.3,5.4,0.0,4.0,0.0,2.2,18.5,1282,68.1,21.8,10.1,0.0,8.3,"Census Tract 9705, Wayne County",4.2,2.2,12.3,3.8,47.3,5.9,16.0,3.8,7.7,3.0,7.9,2.4,4.6,2.1,"243,193,642.37","80,604.97"
